"array size","computation time","server request time","client request time"
"10000","9","38","44"
"11000","2","3","3"
"12000","3","4","4"
"13000","3","4","4"
"14000","3","4","5"
"15000","4","5","5"
"16000","5","10","11"
"17000","5","6","7"
"18000","8","13","14"
"19000","9","16","17"
"20000","10","19","20"
"21000","10","22","23"
"22000","11","26","28"
"23000","12","32","33"
"24000","12","31","32"
"25000","12","32","34"
"26000","13","35","36"
"27000","14","41","42"
"28000","14","46","48"
"29000","15","47","49"
"30000","15","50","51"
"31000","16","60","62"
"32000","17","59","61"
"33000","19","74","75"
"34000","18","65","67"
"35000","19","72","75"
"36000","20","78","80"
"37000","20","77","79"
"38000","20","82","84"
"39000","21","83","85"
"40000","22","92","95"
"41000","22","92","95"
"42000","23","96","99"
"43000","23","99","101"
"44000","24","106","108"
"45000","24","104","107"
"46000","25","107","110"
"47000","25","112","114"
"48000","26","115","118"
"49000","27","121","124"
"50000","30","137","141"
"51000","28","127","131"
"52000","29","136","139"
"53000","31","137","141"
"54000","31","143","146"
"55000","32","149","153"
"56000","32","143","146"
"57000","32","154","158"
"58000","33","150","153"
"59000","34","161","165"
"60000","34","160","164"
"61000","35","167","171"
"62000","36","173","177"
"63000","37","172","176"
"64000","38","180","185"
"65000","39","189","194"
"66000","39","190","195"
"67000","39","191","196"
"68000","40","191","195"
"69000","41","198","203"
"70000","42","211","216"
"71000","43","220","225"
"72000","43","216","221"
"73000","44","223","228"
"74000","46","239","245"
"75000","47","240","246"
"76000","50","265","271"
"77000","50","262","267"
"78000","50","262","268"
"79000","48","243","248"
"80000","49","256","261"
"81000","50","269","274"
"82000","49","264","269"
"83000","50","274","280"
"84000","51","274","280"
"85000","53","286","292"
"86000","55","307","315"
"87000","53","278","284"
"88000","55","292","299"
"89000","58","309","316"
"90000","61","336","343"
"91000","59","323","331"
"92000","59","324","331"
"93000","62","347","354"
"94000","59","321","328"
"95000","61","334","342"
"96000","61","339","349"
"97000","63","353","360"
"98000","65","355","363"
"99000","64","353","361"
"100000","69","383","392"
