"array size","computation time","server request time","client request time"
"10000","7","29","36"
"11000","2","3","3"
"12000","3","3","4"
"13000","3","3","4"
"14000","3","4","5"
"15000","4","4","5"
"16000","4","4","5"
"17000","4","5","6"
"18000","5","6","7"
"19000","5","7","8"
"20000","6","8","9"
"21000","19","77","83"
"22000","16","52","56"
"23000","9","15","18"
"24000","9","12","14"
"25000","9","13","14"
"26000","10","16","18"
"27000","10","18","21"
"28000","15","47","50"
"29000","16","49","53"
"30000","15","47","50"
"31000","16","53","56"
"32000","17","57","61"
"33000","19","69","73"
"34000","18","65","68"
"35000","19","69","73"
"36000","19","72","76"
"37000","21","80","85"
"38000","21","79","84"
"39000","21","83","87"
"40000","23","90","96"
"41000","23","91","95"
"42000","24","97","101"
"43000","24","98","103"
"44000","25","105","111"
"45000","25","104","109"
"46000","26","109","114"
"47000","27","115","122"
"48000","27","114","119"
"49000","28","123","128"
"50000","28","121","128"
"51000","29","123","131"
"52000","29","127","134"
"53000","30","135","141"
"54000","31","138","145"
"55000","32","146","154"
"56000","32","142","148"
"57000","33","149","156"
"58000","34","156","164"
"59000","35","160","167"
"60000","35","166","173"
"61000","37","174","182"
"62000","38","179","186"
"63000","37","173","181"
"64000","38","181","188"
"65000","39","186","195"
"66000","40","182","192"
"67000","40","195","202"
"68000","42","203","211"
"69000","42","202","209"
"70000","43","201","211"
"71000","43","211","219"
"72000","43","207","217"
"73000","45","224","232"
"74000","45","217","225"
"75000","45","218","227"
"76000","46","222","233"
"77000","47","231","241"
"78000","47","229","239"
"79000","47","229","239"
"80000","48","236","243"
"81000","48","242","250"
"82000","49","238","247"
"83000","51","257","266"
"84000","50","253","261"
"85000","51","258","268"
"86000","52","252","264"
"87000","52","262","274"
"88000","54","270","279"
"89000","58","296","306"
"90000","56","286","296"
"91000","57","289","300"
"92000","60","314","324"
"93000","58","300","311"
"94000","61","315","325"
"95000","59","302","314"
"96000","62","317","328"
"97000","61","304","318"
"98000","61","310","321"
"99000","63","319","330"
"100000","64","330","343"
