"array size","computation time","server request time","client request time"
"10000","11","48","61"
"11000","3","4","5"
"12000","4","6","7"
"13000","4","5","6"
"14000","5","6","8"
"15000","6","7","9"
"16000","6","7","8"
"17000","7","9","10"
"18000","8","12","13"
"19000","9","14","16"
"20000","10","17","19"
"21000","11","19","21"
"22000","12","26","28"
"23000","12","25","27"
"24000","12","28","31"
"25000","13","35","38"
"26000","14","36","38"
"27000","15","41","43"
"28000","15","46","49"
"29000","16","48","51"
"30000","17","53","56"
"31000","17","55","59"
"32000","17","57","60"
"33000","20","72","76"
"34000","19","67","70"
"35000","20","70","74"
"36000","20","76","80"
"37000","22","84","88"
"38000","22","87","90"
"39000","23","92","96"
"40000","23","90","94"
"41000","23","93","97"
"42000","24","98","102"
"43000","25","100","104"
"44000","25","101","106"
"45000","27","114","119"
"46000","26","113","118"
"47000","27","116","122"
"48000","28","119","124"
"49000","28","119","124"
"50000","29","125","130"
"51000","30","132","138"
"52000","31","136","142"
"53000","31","134","139"
"54000","33","146","152"
"55000","34","155","161"
"56000","33","153","159"
"57000","34","151","157"
"58000","34","157","163"
"59000","36","168","175"
"60000","36","172","179"
"61000","37","172","178"
"62000","39","189","196"
"63000","39","188","195"
"64000","39","190","196"
"65000","41","195","203"
"66000","44","210","218"
"67000","46","228","236"
"68000","43","203","210"
"69000","43","207","213"
"70000","44","214","222"
"71000","46","231","239"
"72000","47","228","236"
"73000","48","240","249"
"74000","48","237","245"
"75000","49","248","257"
"76000","49","252","262"
"77000","51","262","272"
"78000","52","268","280"
"79000","50","255","268"
"80000","53","268","278"
"81000","53","270","279"
"82000","58","306","319"
"83000","55","283","293"
"84000","56","289","302"
"85000","57","300","311"
"86000","56","287","298"
"87000","57","295","306"
"88000","58","300","313"
"89000","63","330","342"
"90000","62","326","339"
"91000","61","323","335"
"92000","63","330","342"
"93000","63","334","349"
"94000","64","339","353"
"95000","65","342","353"
"96000","67","353","364"
"97000","67","353","365"
"98000","68","362","381"
"99000","68","362","375"
"100000","71","382","396"
