"number of clients","computation time","server request time","client request time"
"1","39","42","52"
"2","15","17","19"
"3","14","15","18"
"4","12","14","16"
"5","14","14","17"
"6","12","14","16"
"7","13","14","16"
"8","15","16","18"
"9","15","16","19"
"10","15","16","18"
"11","15","17","19"
"12","15","17","19"
"13","15","16","19"
"14","18","21","23"
"15","20","22","24"
"16","22","24","27"
"17","23","27","30"
"18","22","24","27"
"19","23","25","29"
"20","23","26","29"
"21","24","27","31"
"22","29","37","40"
"23","39","69","73"
"24","33","54","57"
"25","29","45","48"
"26","30","52","55"
"27","31","59","62"
"28","36","80","84"
"29","29","60","63"
"30","33","80","84"
"31","31","74","77"
"32","30","73","77"
"33","28","69","72"
"34","28","73","76"
"35","29","79","82"
"36","28","81","84"
"37","28","81","84"
"38","29","92","95"
"39","28","89","92"
"40","30","102","106"
"41","31","112","115"
"42","28","101","104"
"43","28","107","110"
"44","28","108","111"
"45","29","118","121"
"46","27","108","111"
"47","29","120","123"
"48","28","117","121"
"49","29","128","131"
"50","29","128","132"
"51","27","126","129"
"52","27","126","129"
"53","27","129","132"
"54","27","134","137"
"55","27","133","136"
"56","27","136","139"
"57","28","150","154"
"58","27","148","151"
"59","28","148","152"
"60","28","156","159"
"61","27","152","155"
"62","28","155","159"
"63","28","167","171"
"64","28","167","170"
"65","27","168","171"
"66","28","176","179"
"67","27","176","179"
"68","28","178","182"
"69","28","176","179"
"70","28","187","191"
"71","28","188","192"
"72","28","194","197"
"73","28","198","201"
"74","28","193","196"
"75","28","199","203"
"76","28","201","205"
"77","28","201","205"
"78","28","217","221"
"79","28","205","209"
"80","28","215","219"
"81","28","231","235"
"82","28","223","226"
"83","28","232","236"
"84","29","245","249"
"85","28","232","235"
"86","28","247","251"
"87","29","254","258"
"88","30","272","276"
"89","29","260","264"
"90","30","280","284"
"91","28","243","247"
"92","29","262","266"
"93","29","285","289"
"94","29","268","272"
"95","29","268","272"
"96","30","297","301"
"97","28","261","265"
"98","29","284","288"
"99","30","310","314"
"100","30","307","311"
