"number of clients","computation time","server request time","client request time"
"1","42","43","52"
"2","15","16","19"
"3","14","15","17"
"4","13","14","16"
"5","14","15","17"
"6","15","16","18"
"7","15","15","17"
"8","16","17","19"
"9","15","16","18"
"10","15","16","19"
"11","15","17","19"
"12","15","16","19"
"13","16","17","19"
"14","15","17","19"
"15","16","17","20"
"16","15","17","19"
"17","16","17","20"
"18","16","17","20"
"19","16","18","21"
"20","16","18","21"
"21","16","17","20"
"22","17","18","21"
"23","18","19","23"
"24","25","30","34"
"25","28","36","42"
"26","28","39","45"
"27","28","43","48"
"28","28","46","51"
"29","28","50","55"
"30","28","53","58"
"31","28","56","61"
"32","29","66","71"
"33","28","63","68"
"34","28","66","71"
"35","28","70","75"
"36","29","76","81"
"37","29","79","85"
"38","28","79","85"
"39","28","84","89"
"40","28","88","94"
"41","28","91","96"
"42","28","91","97"
"43","29","102","107"
"44","28","103","109"
"45","28","100","107"
"46","28","107","112"
"47","29","119","126"
"48","28","116","121"
"49","28","116","123"
"50","28","119","124"
"51","28","120","126"
"52","28","124","130"
"53","28","131","138"
"54","29","138","145"
"55","29","145","152"
"56","28","139","144"
"57","28","147","153"
"58","28","152","158"
"59","29","158","164"
"60","28","157","164"
"61","28","157","163"
"62","29","168","173"
"63","28","168","175"
"64","28","169","176"
"65","28","167","173"
"66","28","179","187"
"67","29","178","185"
"68","29","190","197"
"69","28","187","193"
"70","29","195","201"
"71","28","192","198"
"72","28","180","192"
"73","28","193","203"
"74","29","213","219"
"75","29","206","213"
"76","29","216","221"
"77","28","208","214"
"78","28","216","224"
"79","29","224","232"
"80","28","216","222"
"81","28","225","232"
"82","28","227","233"
"83","28","230","236"
"84","28","239","246"
"85","28","235","242"
"86","28","245","251"
"87","28","241","247"
"88","30","274","280"
"89","29","256","262"
"90","28","222","247"
"91","28","249","258"
"92","28","260","266"
"93","29","271","277"
"94","28","263","273"
"95","28","275","281"
"96","28","279","286"
"97","28","278","285"
"98","29","289","297"
"99","28","288","294"
"100","28","272","282"
