"number of clients","computation time","server request time","client request time"
"1","38","39","50"
"2","15","15","18"
"3","13","13","16"
"4","13","14","16"
"5","14","15","17"
"6","13","14","16"
"7","14","15","17"
"8","14","14","17"
"9","15","16","18"
"10","15","16","18"
"11","15","16","19"
"12","14","15","18"
"13","16","17","20"
"14","16","17","20"
"15","18","19","22"
"16","20","21","25"
"17","21","22","26"
"18","22","24","28"
"19","22","24","28"
"20","25","28","32"
"21","25","27","32"
"22","27","31","36"
"23","28","34","39"
"24","29","38","43"
"25","29","38","44"
"26","30","45","51"
"27","29","45","50"
"28","28","47","53"
"29","30","56","61"
"30","29","55","61"
"31","29","58","63"
"32","29","63","69"
"33","29","66","72"
"34","29","70","76"
"35","29","76","82"
"36","29","79","84"
"37","29","82","88"
"38","29","86","92"
"39","29","88","94"
"40","29","93","99"
"41","30","99","105"
"42","29","98","103"
"43","29","100","106"
"44","29","109","115"
"45","30","111","116"
"46","29","116","122"
"47","30","120","126"
"48","30","125","131"
"49","29","122","127"
"50","29","120","125"
"51","29","128","134"
"52","29","133","138"
"53","30","142","148"
"54","30","144","149"
"55","29","145","151"
"56","29","144","150"
"57","28","145","150"
"58","29","147","152"
"59","29","154","159"
"60","29","154","159"
"61","29","159","164"
"62","29","171","176"
"63","29","165","171"
"64","29","165","170"
"65","29","181","187"
"66","29","169","174"
"67","29","180","186"
"68","29","179","184"
"69","29","183","188"
"70","29","193","198"
"71","29","186","191"
"72","29","201","207"
"73","29","196","201"
"74","31","218","224"
"75","29","201","206"
"76","29","217","222"
"77","29","224","229"
"78","29","225","230"
"79","30","226","231"
"80","29","216","222"
"81","31","253","259"
"82","31","250","256"
"83","29","225","231"
"84","30","241","247"
"85","30","244","250"
"86","32","274","280"
"87","31","270","276"
"88","31","279","285"
"89","31","273","279"
"90","33","303","310"
"91","40","380","387"
"92","39","383","390"
"93","33","313","319"
"94","34","338","347"
"95","35","343","349"
"96","38","358","365"
"97","38","373","380"
"98","34","361","369"
"99","32","311","317"
"100","30","306","312"
